Name,Address,Manufacturer_state,Number,URL,Employees,Description,Capabilities_Overall
LeFiell Manufacturing Co.,"Santa Fe Springs, CA 90670 ",CA,800-451-5971,http://www.lefiell.com,100-199,"Company Description by Thomasnet
ISO 9002 certified. Specialized in precision tubular products such as control rods, struts, braces, ultrasonic tubes, gas turbine engine shafts, missile cases and pads for the aerospace, aircraft, defense and commercial industries. Capabilities include heat treating, gun drilling, milling, turning, waterjet cutting, jig boring, thermal processing, shearing, swaging, forming, fabrication and extruding. Meets MIL-I-45208 and MIL-Q-9858 Spec.
","['Assemblies', 'Aircraft Parts', 'Aluminum', 'Cases', 'Drilling Services', 'Engine Parts', 'Forming Services', 'Machining', 'Manufacturing Services', 'Rods', 'Swaging Services', 'Shafts', 'Stamping Services', 'Struts', 'Steel', 'Tube Fabrication and Bending Services', 'Titanium', 'Tubes']"
"Garland's Precision, Inc.","Fullerton, CA 92832 ",CA,714-446-0772,http://www.gpmachininginc.com,9-Jan,"Company Description by Thomasnet
Precision CNC machining and fabrication of components and mechanical assemblies from prototype to high volume production. Materials handled include aluminum, stainless steel, titanium, copper, brass, plastics and cast and forged materials. Machined parts and components include electronic housings, heat sinks, cams, gears, shafts, drill jigs, hydraulics and mechanical assemblies. Capabilities include 3-axis and 4-axis vertical CNC milling, CNC turning, 4-axis CNC lathe work, CAD/CAM programming, reverse engineering, welding, horizontal and vertical band sawing, automatic screw machining, OD and surface grinding, drilling, tapping and delivery services. Secondary services include honing, deburring, tamping, heavy duty drill pressing, gear hobbing, thread rolling and knurling. Industries served include aerospace, aftermarket automotive, commercial, defense, power generation, electronics and medical.
","['Aerospace Components', 'Aircraft Parts', 'Assemblies', 'Automotive Parts', 'COVID-19 Response', 'Cutting Services', 'Drilling Services', 'Electronic Components', 'Engineering Services', 'Fabrication Services', 'Grinding Services', 'Machining', 'Milling Services', 'Medical Components', 'Programming Services', 'Prototyping Services', 'Turning Services', 'Tapping Services', 'Tier 2 Medical Mfg. Supplies, Materials, Components & Services', 'Tube Fabrication and Bending Services', 'Welding Services']"
"Wilkinson Manufacturing, Inc.","San Jose, CA 95138 ",CA,855-210-4915,https://www.wilkinsonmfg.com/,Oct-49,"Company Description by Thomasnet
Precision CNC machining services for prototype parts. Capabilities include four-axis milling, turning, CAD or CAM machining, prototyping and assembly. Additional services such as coordinate measuring machine (CMM) inspection and fixture design are also offered.
Company Description by Wilkinson Manufacturing, Inc.
Wilkinson Mfg., Inc is a dynamic and innovative high-tech contract manufacturing company located in the heart of Silicon Valley. We consist of a diverse and exceptional group of individuals who have a high desire and drive to succeed. We understand the need for continuous process improvement and work diligently with our customers to provide them a quality part every time.

Our capabilities include CNC precision milling/turning, prototyping, sub-assembly, CAD/CAM, custom fixture design and CMM inspection.

Our wide variety of services and expertise in plastic and metal machining allows us to assist our customers from prototype to production in a variety of materials.
","['Assembly Services', 'Fabrication Services', 'Machining', 'Manufacturing Services', 'Milling Services', 'Prototyping Services', 'Turning Services']"
Kinetic Machining Services,"Shingle Springs, CA 95682 ",CA,530-672-0537,http://www.kineticmachining.com/index.html,9-Jan,"Company Description by Thomasnet
Custom manufacturer of precision machined products. Materials worked include exotic metals, glass, plastic, aluminum and stainless steel. Capabilities include machining, CNC milling and turning, prototyping, research and development, gun drilling, screw and Swiss machining, castings machining and electric discharge machining. Aerospace, defense, bio-tech, consumer products, electronic, industrial and sound components, medical, media, mold, tool and die and semiconductor industries served.
Company Description by Kinetic Machining Services
Kinetic Machining Services is looking to partner with companies who are leaders and innovators in advanced engineering, medical, defense, and green technology. KMS is a full service supplier of high quality precision machined products. Based in northern California we have produced products for companies such as Intel, Praxair, Aerojet, Johnson & Johnson, Micron Technology and National Semiconductor just to name a few. Our commitment to quality shows in every part we make and has earned us a reputation of excellence. Our exceptional quality is a result of people with exceptional skills and experience utilizing advanced equipment and cutting edge tooling. We take great pride in our ability to work in just about any material you or your engineers can imagine. From common aluminum and stainless to exotic alloys, plastics and glass our expertise in dealing with the unique challenges of each has made us the ""go to shop"" for many product engineers. Of equal importance to quality is our commitment More... to meeting the delivery schedule. We consider it a privilege to provide quality products and structure our processes to ensure delivery on time every time. Prototype and short run jobs have been Kinetics ""bread and butter"" but many of our customers return with production runs for components where the tolerances or quality requirements could not be met by larger production machining shops. While KMS is a small precision machine shop we understand the elements that give us an edge and have methodically planned our growth to ensure that regardless of job size professional quality service will always be our priority. Quotes are free and given prompt attention so please keep us in mind. We thank you for your time and look forward to any opportunity to serve you. Less
","['COVID-19 Response', 'Drilling Services', 'Machining', 'Medical Components', 'Milling Services', 'Prototyping Services', 'Tier 2 Medical Mfg. Supplies, Materials, Components & Services', 'Turning Services']"
Custom Tube & Manufacturing Inc.,"Paso Robles, CA 93446 ",CA,855-331-6373,https://customtubemfg.com/,9-Jan,"Company Description by Thomasnet
Custom manufacturer specializing in seamless tubing. Other specialties include the production of custom shaped tubing with specific design features. A286, alloy 20, aluminum, beryllium, brass, copper, HastelloyÂ® B3, C, C22, C2000, C276, HastelloyÂ® X, InvarÂ® 36, InconelÂ® 600, 601, 617, 615,718, 800, 909, X750, L605, MonelÂ® 400, 500, nickel 200, 201, nitronic 40, 50, N155, rhenium, stainless steel, tantalum, titanium alloys, zirconium, and zirconium alloys. Capabilities include machining, laser cutting, welding, milling, swaging, gun drilling, metal fabricating and prototyping. Tubing is utilized in the nuclear, aerospace, cryogenic, medical, down hole exploration, and military industries.
Company Description by Custom Tube & Manufacturing Inc.
All tubing production starts on manual tube drawing machines, which translates into the highest-quality tubing. Cold forming is the only method of tube drawing we use, which yields the best grain structure and tightest tolerances as well as the ability to produce cold strengthened tubing.

With the ability to do metal forming in conjunction with machining, we can manufacture more complex parts than standard machine shops. We make very specialized parts for gas purification, heat exchangers, semiconductors, electronic, medical, precision optics, military and aerospace components. Long-run production jobs for hard to find shaped tubular type parts has become a mainstay for our machining department.
","['Drilling Services', 'Fabrication Services', 'Machining', 'Milling Services', 'Tubes', 'Tube Fabrication and Bending Services', 'Turning Services', 'Welding Services']"
Caliber Engraving,"Brea, CA 92821 ",CA,888-352-2359,https://caliberengraving.com/,Oct-49,"Company Description by Thomasnet
Custom industrial and architectural marking, etching, and engraving services. Specializing in production and short run industrial part marking. Capabilities include industrial deep laser engraving, laser marking, laser etching, laser ablation, photo-chemical etching, CNC rotary engraving, CNC routing and pressurized media blasting. Facilities host several galvo and flatbed CO2, YAG and fiber laser systems, CNC machines, chemical texturing operations and an extensive die engraving operation for the production of steel marking stamps.
Company Description by Caliber Engraving
The Best Engraving Company in the world.

Why can we say this?

We've designed every square inch of our operation, our production and all on our team who are customer engaging, to ensure that our customers feel, without a doubt, that everything we do revolves around them, their order and their delivery requirements. We are customer centric and we'll never stop in our pursuit to keep the very thing that makes us so different than the rest.

Additionally, we employ the most diverse range of engraving technologies and processes in the entire country, resulting in the most exceptional results and value for our clients. As if thats not enough, we offer the shortest lead times in the industry by a long shot.

We even have two awards in our lobby issued by NASA for our involvement in the development of the Orion Spacecraft, ensuring astronauts safe return to Earth.

So let's get started.

The Caliber Engraving Team
","['Cutting Services', 'Dies', 'Engraving Services', 'Etching Services', 'Embossing Services', 'Fabrication Services', 'Finishing Services', 'Machining', 'Machinery Parts', 'Markers and Marking Equipment', 'Milling Services', 'Printing and Marking Services', 'Plates', 'Rolls and Rollers', 'Rubber Goods', 'Stamps', 'Signs', 'Stamping Services', 'Steel', 'Tools', 'Treatment Services', 'Wood Parts']"
"International Polymer Solutions, (iPolymer)","Irvine, CA 92618 ",CA,949-458-3731,https://www.ipolymer.com/index.html,Oct-49,"Company Description by Thomasnet
Manufacturer that has a line of high purity fluid handling products suited for applications requiring engineered performance from PTFE, PFA, PVDF, PVC, PEEK, polypropylene and other specialty polymer-based materials. Standard and custom fluid handling products are used in the semiconductor, solar, pharmaceutical, bio-medical, food processing, and chemical handling industries. Supplies custom fabricated polymer tanks and enclosures for process applications using DI water and caustic solutions.
Company Description by International Polymer Solutions, (iPolymer)
iPolymer has a full line of high purity fluid handling products ideally suited for applications requiring engineered performance from PTFE, PFA, PVDF, PVC, PEEK, polypropylene and other specialty polymer-based materials. Our catalog standard and custom fluid handling products are used in the semiconductor, solar, pharmaceutical, bio-medical, food processing, and chemical handling industries.

With the merger of TEQCOM Industries & BECO Manufacturing, and over 25 years of plastic fabrication under our belt, iPolymer has a full range of CNC machine tools and welding capability at Irvine, California facility. We manufacture custom tanks, cabinets, enclosures, benches, plenums, and other high purity plastic products out of PTFE, PFA, TFM, PVDF, CPVC, PEEK, Halar, acrylic, polypropylene, polycarbonate and other materials.
","['Actuators', 'Aerospace Components', 'Aircraft Parts', 'Aspirators', 'Assemblies', 'Assembly Services', 'Bushings', 'Boring Services', 'Caps', 'Connectors', 'Couplers and Couplings', 'Crosses', 'Cylinders', 'Cabinets', 'Cleanroom Equipment', 'Consulting Services', 'Controls and Controllers', 'COVID-19 Response', 'Cutting Services', 'Deionizers', 'Diaphragms', 'Discs', 'Dispensers', 'Elbows', 'Electronic Components', 'Enclosures', 'Fittings', 'Fabrication Services', 'Fasteners', 'Filters', 'Fixtures', 'Flanges', 'Forming Services', 'Guns', 'Grinding Services', 'Handling Equipment', 'Inserts', 'Isolators', 'Knurling Services', 'Machining', 'Manufacturing Services', 'Miscellaneous Fittings', 'Machinery Parts', 'Media', 'Medical Products and Hospital Equipment', 'Microelectronics', 'Milling Services', 'Molding Services', 'Nipples', 'Nuts', 'Optical Components', 'Plastics', 'Plugs and Stoppers', 'Pipe Fittings', 'Pneumatic Systems', 'Process Machinery', 'Prototyping Services', 'Pumps', 'Regulators', 'Routing Services', 'Rubber Goods', 'Showers', 'Sprayers', 'Tees', 'Tanks', 'Tubes', 'Turning Services', 'Unions', 'Valves', 'Valve Components', 'Welding Services']"
"Binder Metal Products, Inc.","Gardena, CA 90248 ",CA,877-261-8517,https://www.bindermetal.com/,50-99,"Company Description by Thomasnet
Specializing in special stampings and washers, as well as most standard washers. Stamping materials ranging from hot rolled mild steel to Titanium. Custom products available are interchangeable/progressive/compound stampings, dies, and washers. Standard products such as washers, discs and flanges are also available. Various materials such as plastics, phenolic, rubber, nylon, aluminum, stainless steel, carbon steel, brass, bronze, MonelÂ®, InconelÂ® and zinc alloys are stamped and stocked. CNC machining services for spacers, washers, standoffs and bushings. Round, hexagon, square and flat bars are machined in various grades of steel. Capabilities such as laser/waterjet/flame/plasma/saw cutting, milling and turning are offered. Kanban and JIT delivery. Meets AS9100 standards. Made in the USA.
Company Description by Binder Metal Products, Inc.
Binder Metal Products, Inc. was established in 1925 and has evolved into a full service stamping house, specializing in special stampings, as well as most standard washers.
","['Bushings', 'Cutting Services', 'Dies', 'Fasteners', 'Fiber', 'Flanges', 'Forming Services', 'Machining', 'Milling Services', 'Plastics', 'Stamping Services', 'Standoffs and Spacers', 'Shims', 'Turning Services', 'Washers']"
"BTM - Beartech Manufacturing, Inc","Placentia, CA 92870 ",CA,833-427-7996,http://www.beartechmfg.com/,Oct-49,"Company Description by Thomasnet
AS9100D / ISO 9001:2015 certified manufacturer of precision components. Offers engineering and CNC machining services, including turning and milling. Works with aluminum, brass, bronze, aluminum bronze, beryllium copper, tellurium copper, MonelÂ®, InconelÂ® and stainless steel. Handles low to high production runs. Serves the aerospace, military/defense, power, medical, hi-tech, construction, manufacturing, electronics, laboratory, automotive and other industries.
Company Description by BTM - Beartech Manufacturing, Inc
With over 100 years of combined experience in the machining of precision engineered components, BTM - Beartech Manufacturing represents one of United State's leading suppliers to the aerospace manufacturing, engineering and technology sectors.

BTM has the latest technology and highly qualified and experienced machinists enabling us to produce precision engineered parts from 10 pcs to over 100,000 pcs at very competitive prices. With BTM's capabilities, resources and experienced staff, there is no need to go outside United States for your low to high volume components.

Quality, reliability and honest are all highly regarded traits of BTM.

AS9100D and ISO 9001:2015 certified CNC and screw machine job shop. Prototype to production in all metals and plastics. 7 CNC lathes, 4 swiss screw machines, 3 CNC mills and 10 B&S screw machines. Full inspection room. Single orders or LTA Kanban systems to help with Lean Mfg. Fantastic customer service!
","['Automotive Parts', 'COVID-19 Response', 'Cutting Services', 'Fabrication Services', 'Machining', 'Medical Components', 'Milling Services', 'Turning Services', 'Tier 2 Medical Mfg. Supplies, Materials, Components & Services', 'Welding Services']"
U.S. Titanium Industry Inc.,"Baldwin Park, CA 91706 ",CA,626-338-0855,https://usa-titanium.com/,100-199,"Company Description by Thomasnet
Manufacturer of standard and custom titanium and titanium alloy based products, zirconium, tantalum, niobium, hafnium and high performance metal. Products include titanium sheets, plates, billets, bars, rods, tubes, pipes and plates. Applications include pressure vessels, automobile muffler and exhaust pipes, seawater desalination and heat exchangers. Capabilities include forging, casting and stamping. Markets served include petrochemical and pharmacy.
Company Description by U.S. Titanium Industry Inc.
USTi's core products are titanium seamless tube, welding pipe, tube sheet and explode titanium clad steel plate, titanium bar and rod etc.

USTi's Titanium products, material grade, standard services are available:

Titanium sheet, plate, billet, bar, tube, pipe, tube sheet, clad plate, fitting, casting, fastener and machining products. 

GR1 GR2 GR3 GR4 GR5 GR7 GR9 GR12 GR16 GR17 GR23 Ti6-4 ELI Ti-15333, Ti811, T6246, Ti3111, etc.

ASMT B265, ASTM B338, ASTM B861, ASTM B863, ASTM B348, ASTM B898, ASTM F67, ASTM F136, AMS4911, AMS4928, AMS4972 etc. 

In our long term service, we have contacted all aspects of clients from petrochemical industry to pharmacy and established a great partnership and we have been continuously improving and enriching our professional experiences and technical knowledge to cater to all industry aspects request.
","['Automotive Parts', 'Bolts', 'Bicycle Parts', 'Caps', 'Casting Services', 'Couplers and Couplings', 'Copper', 'Elbows', 'Electric Wire, Cable and Cable Assemblies', 'Ends', 'Exchangers', 'Fittings', 'Fabrication Services', 'Fasteners', 'Flanges', 'Forging Services', 'Hafnium', 'Heads', 'Implants', 'Machining', 'Mechanical Wire, Cable and Rope', 'Metals', 'Miscellaneous Metals', 'Nails and Brads', 'Niobium (Columbium)', 'Nuts', 'Pipes', 'Pipe Fittings', 'Rods', 'Screws', 'Shafts', 'Sheets', 'Stamping Services', 'Steel', 'Titanium', 'Tubes', 'Tees', 'Tantalum', 'Tube Fabrication and Bending Services', 'Vessels', 'Washers', 'Welding Rods, Wire and Electrodes', 'Zirconium']"
